Concentration_Percent_Weight,0°C,5°C,10°C,15°C,20°C,25°C,30°C,40°C,50°C,60°C,80°C,100°C
34,1.2233,1.2203,1.2155,1.2113,1.2071,1.203,1.1988,1.1901,1.1812,1.1723,1.1533,1.1335
35,1.2306,1.2275,1.2227,1.2183,1.214,1.2098,1.2055,1.1966,1.1876,1.1784,1.1591,1.139
36,1.2375,1.2344,1.2294,1.2249,1.2205,1.2163,1.2119,1.2028,1.1936,1.1842,1.1645,1.144
37,1.2444,1.2412,1.2361,1.2315,1.227,1.2227,1.2182,1.2089,1.1995,1.1899,1.1699,1.149
38,1.2513,1.2479,1.2428,1.2381,1.2335,1.2291,1.2245,1.215,1.2054,1.1956,1.1752,1.154
39,1.2581,1.2546,1.2494,1.2446,1.2399,1.2354,1.2308,1.221,1.2112,1.2013,1.1805,1.1589
40,1.2649,1.2613,1.256,1.2511,1.2463,1.2417,1.237,1.227,1.217,1.2069,1.1858,1.1638
41,1.2717,1.268,1.2626,1.2576,1.2527,1.248,1.2432,1.233,1.2229,1.2126,1.1911,1.1687
42,1.2786,1.2747,1.2692,1.2641,1.2591,1.2543,1.2494,1.239,1.2287,1.2182,1.1963,1.1735
43,1.2854,1.2814,1.2758,1.2706,1.2655,1.2606,1.2556,1.245,1.2345,1.2238,1.2015,1.1783
44,1.2922,1.288,1.2824,1.2771,1.2719,1.2669,1.2618,1.251,1.2403,1.2294,1.2067,1.1831
45,1.299,1.2947,1.289,1.2836,1.2783,1.2732,1.268,1.257,1.2461,1.235,1.2119,1.1879
46,1.3058,1.3014,1.2955,1.2901,1.2847,1.2795,1.2742,1.263,1.2519,1.2406,1.2171,1.1927
47,1.3126,1.308,1.3021,1.2966,1.2911,1.2858,1.2804,1.269,1.2577,1.2462,1.2223,1.1976
48,1.3194,1.3147,1.3087,1.3031,1.2975,1.2921,1.2867,1.275,1.2635,1.2518,1.2275,1.2024
49,1.3263,1.3214,1.3153,1.3096,1.304,1.2984,1.2929,1.2811,1.2693,1.2575,1.2328,1.2073
50,1.3327,1.3277,1.3215,1.3157,1.31,1.3043,1.2987,1.2867,1.2748,1.2628,1.2377,1.2118
51,1.3391,1.3339,1.3277,1.3218,1.316,1.3102,1.3045,1.2923,1.2802,1.268,1.2425,1.2163
52,1.3454,1.3401,1.3338,1.3278,1.3219,1.316,1.3102,1.2978,1.2856,1.2731,1.2473,1.2208
53,1.3517,1.3462,1.3399,1.3338,1.3278,1.3218,1.3159,1.3033,1.2909,1.2782,1.2521,1.2252
54,1.3579,1.3523,1.3459,1.3397,1.3336,1.3275,1.3215,1.3087,1.2961,1.2833,1.2568,1.2296
55,1.364,1.3583,1.3518,1.3455,1.3393,1.3331,1.327,1.3141,1.3013,1.2883,1.2615,1.2339
56,1.37,1.3642,1.3576,1.3512,1.3449,1.3386,1.3324,1.3194,1.3064,1.2932,1.2661,1.2382
57,1.3759,1.37,1.3634,1.3569,1.3505,1.3441,1.3377,1.3246,1.3114,1.2981,1.2706,1.2424
58,1.3818,1.3757,1.3691,1.3625,1.356,1.3495,1.343,1.3298,1.3164,1.3029,1.2751,1.2466
59,1.3875,1.3813,1.3747,1.368,1.3614,1.3548,1.3482,1.3348,1.3213,1.3077,1.2795,1.2507
60,1.3931,1.3868,1.3801,1.3734,1.3667,1.36,1.3533,1.3398,1.3261,1.3124,1.2839,1.2547
61,1.3986,1.3922,1.3855,1.3787,1.3719,1.3651,1.3583,1.3447,1.3308,1.3169,1.2881,1.2587
62,1.4039,1.3975,1.3907,1.3838,1.3769,1.37,1.3632,1.3494,1.3354,1.3213,1.2922,1.2625
63,NaN,1.4091,1.4027,1.3958,1.3888,1.3818,1.3748,1.3679,1.354,1.3398,1.3255,1.2962
64,NaN,1.4078,1.4007,1.3936,1.3866,1.3795
65,NaN,1.4128,1.4055,1.3984,1.3913,1.3841
66,NaN,1.4177,1.4103,1.4031,1.3959,1.3887
67,NaN,1.4224,1.415,1.4077,1.4004,1.3932
68,NaN,1.4271,1.4196,1.4122,1.4048,1.3976
69,NaN,1.4317,1.4241,1.4166,1.4091,1.4019
70,NaN,1.4362,1.4285,1.421,1.4134,1.4061
71,NaN,1.4406,1.4328,1.4252,1.4176,1.4102
72,NaN,1.4449,1.4371,1.4294,1.4218,1.4142
73,NaN,1.4491,1.4413,1.4335,1.4258,1.4182
74,NaN,1.4532,1.4454,1.4376,1.4298,1.4221
75,NaN,1.4573,1.4494,1.4415,1.4337,1.4259
76,NaN,1.4613,1.4533,1.4454,1.4375,1.4296
77,NaN,1.4652,1.4572,1.4492,1.4413,1.4333
78,NaN,1.469,1.461,1.4529,1.445,1.4369
79,NaN,1.4727,1.4647,1.4565,1.4486,1.4404
80,NaN,1.4764,1.4683,1.4601,1.4521,1.4439
81,NaN,1.48,1.4718,1.4636,1.4555,1.4473
82,NaN,1.4835,1.4753,1.467,1.4589,1.4507
83,NaN,1.4869,1.4787,1.4704,1.4622,1.454
84,NaN,1.4903,1.482,1.4737,1.4655,1.4572
85,NaN,1.4936,1.4852,1.4769,1.4686,1.4603
86,NaN,1.4968,1.4883,1.4799,1.4716,1.4633
87,NaN,1.4999,1.4913,1.4829,1.4745,1.4662
88,NaN,1.5029,1.4942,1.4858,1.4773,1.469
89,NaN,1.5058,1.497,1.4885,1.48,1.4716
90,NaN,1.5085,1.4997,1.4911,1.4826,1.4741
91,NaN,1.5111,1.5023,1.4936,1.485,1.4766
92,NaN,1.5136,1.5048,1.496,1.4873,1.4789
93,NaN,1.5156,1.5068,1.4979,1.4892,1.4807
94,NaN,1.5177,1.5088,1.4999,1.4912,1.4826
95,NaN,1.5198,1.5109,1.5019,1.4932,1.4846
96,NaN,1.522,1.513,1.504,1.4952,1.4867
97,NaN,1.5244,1.5152,1.5062,1.4974,1.4889
98,NaN,1.5278,1.5187,1.5096,1.5008,1.4922
99,NaN,1.5327,1.5235,1.5144,1.5056,1.4969
100,NaN,1.5402,1.531,1.5217,1.5129,1.504
